,Barrels,Number of Breweries,Total Barrels,Taxable Removals,Total Exported,Year
67,"2,000,000 to 6,000,000 Barrels",6,25151895.32,23845947.59,610799.51,2014
68,"1,000,001 to 1,999,999 Barrels",5,6055336.28,5863392.69,43468.52,2014
69,"500,001 to 1,000,000 Barrels",6,3836841.48,3593230.9800000004,9185.76,2014
70,"100,001 to 500,000 Barrels",44,9093514.820000002,7116673.804000002,344448.36,2014
71,"60,001 to 100,000 Barrels",20,1548669.55,1383528.0200000005,20895.86,2014
72,"30,001 to 60,000 Barrels",62,2639561.5529999994,2301357.795,40785.96,2014
73,"15,001 to 30,000 Barrels",62,1310960.0899999996,1070829.9089999998,71296.98,2014
74,"7,501 to 15,000 Barrels",102,1042199.4199999997,916679.9050000001,22024.91,2014
75,"1,001 to 7,500 Barrels",730,1959533.4969999997,1701354.3969999987,12954.04,2014
76,"1 to 1,000 Barrels",2321,698737.8779999996,607290.333,1547.17,2014
77,"6,000,001 Barrels and Over",15,136122437.44,124274009.86,4949737.19,2015
78,"2,000,000 to 6,000,000 Barrels",6,23939648.17,23001189.23,731500.8,2015
79,"1,000,001 to 1,999,999 Barrels",4,4997347.64,4983601.48,50188.48,2015
80,"500,001 to 1,000,000 Barrels",7,5050717.11,4821272.06,16414.1,2015
81,"100,001 to 500,000 Barrels",49,10645528.1,8697815.57,336057.52,2015
82,"60,001 to 100,000 Barrels",24,1887855.83,1583089.18,23158.65,2015
83,"30,001 to 60,000 Barrels",56,2453623.13,2185447.02,29356.219999999998,2015
84,"15,001 to 30,000 Barrels",71,1509411.47,1294031.85,40755.39,2015
85,"7,501 to 15,000 Barrels",133,1427754.07,1203851.81,25574.94,2015
86,"1,001 to 7,500 Barrels",851,2242859.09,1978577.42,6661.33,2015
87,"1 to 1,000 Barrels",2812,835835.99,733307.88,1892.46,2015
88,"6,000,001 Barrels and Over",14,131659359.17,119774531.97,5066076.38,2016
89,"2,000,000 to 6,000,000 Barrels",7,26452765.43,25147830.590000004,898290.35,2016
